epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.88398,0.61028,3.09838,1.28421,0,0,0,0,5.54805,5.18445,4.79433,0.000325,0.000325,0.000325
2,13.3064,0.47238,1.59299,1.12939,0.00414,1,0.08225,0.05042,0.35721,3.34469,0.88434,0.000659221,0.000659221,0.000659221
3,18.4865,0.48613,1.41014,1.11214,0.00447,1,0.28828,0.16517,0.70491,3.73583,1.20985,0.0009901,0.0009901,0.0009901
4,23.6707,0.45437,1.16457,1.08027,0.00302,0.6197,0.07265,0.05297,0.62101,3.98362,1.49109,0.00123144,0.00123144,0.00123144
5,28.7372,0.43624,1.07025,1.0604,0.00459,0.88333,0.05343,0.01383,0.50644,3.80453,1.17163,0.00122525,0.00122525,0.00122525
6,33.8934,0.41647,0.91284,1.03835,0.00478,0.98485,0.00661,0.00319,0.53934,5.23416,1.10397,0.00121906,0.00121906,0.00121906
7,39.0437,0.3914,0.80983,1.03197,0.00414,0.70303,0.0076,0.00337,0.44785,5.17792,1.02975,0.00121287,0.00121287,0.00121287
8,44.1569,0.37261,0.74886,1.01359,0.00452,0.90909,0.00993,0.00407,0.56027,5.91919,1.21087,0.00120669,0.00120669,0.00120669
9,49.2495,0.34993,0.68402,1.01262,0.00143,0.36667,0.00465,0.00212,0.51282,6.20815,0.9991,0.0012005,0.0012005,0.0012005
10,54.4681,0.33578,0.62173,1.00043,0.00136,0.23319,0.00127,0.00031,0.34253,5.1923,0.81256,0.00119431,0.00119431,0.00119431
11,59.6797,0.32361,0.56162,0.99027,0.00664,1,0.02211,0.00702,0.45194,5.31564,0.97019,0.00118812,0.00118812,0.00118812
12,64.8951,0.32578,0.54439,1.00574,0.00646,1,0.12134,0.07335,0.41218,5.66353,0.90723,0.00118194,0.00118194,0.00118194
13,70.0854,0.32704,0.52112,1.00085,0.0058,1,0.06125,0.03649,0.37591,5.16771,0.85134,0.00117575,0.00117575,0.00117575
